# Converted from POSCAR to lammps format

192 atoms
2 atom types

0.000000   13.030194   xlo xhi
0.000000   13.030194   ylo yhi
0.000000   13.030194   zlo zhi

  0.000000    0.000000    0.000000   xy xz yz

Atoms

   1  1   1.976630 1.231840 1.852810
   2  1   2.461870 11.190400 8.559150
   3  1   8.920420 1.760690 2.655120
   4  1   9.587520 -0.198285 10.187700
   5  1   9.396670 0.026973 4.831570
   6  1   6.357170 2.000480 -0.037731
   7  1   6.630530 2.758270 8.375460
   8  1   10.601100 8.754930 12.654300
   9  1   6.426600 9.553140 9.898930
  10  1   8.949740 10.118700 8.580470
  11  1   10.645400 2.605010 10.364100
  12  1   6.365600 8.256800 4.710830
  13  1   5.166100 4.747870 6.368420
  14  1   5.939990 1.123230 6.141950
  15  1   8.346930 0.010794 0.586838
  16  1   4.147310 7.857940 1.021540
  17  1   1.451650 5.319990 12.560700
  18  1   1.673060 0.119903 6.200550
  19  1   11.081100 5.228300 6.456040
  20  1   7.618190 5.486580 4.660830
  21  1   7.005810 5.618230 1.018850
  22  1   0.148489 2.442290 3.870610
  23  1   6.657980 6.930130 8.358850
  24  1   4.857350 11.711200 10.269400
  25  1   4.351780 2.975130 2.276660
  26  1   11.833100 1.166020 6.507840
  27  1   1.407730 5.545580 4.914160
  28  1   2.486600 11.937600 3.363120
  29  1   7.862590 7.367540 11.509100
  30  1   12.276600 3.028180 12.458500
  31  1   12.071100 6.791240 11.446900
  32  1   6.613910 2.987550 3.865010
  33  1   10.363600 8.277920 2.858510
  34  1   1.661340 5.302360 9.739910
  35  1   11.745400 8.838100 9.528010
  36  1   11.082100 3.176980 2.062450
  37  1   10.780200 9.958760 5.162600
  38  1   9.718300 5.924900 9.368550
  39  1   -0.306059 3.485040 8.457580
  40  1   4.506170 4.642120 -0.010217
  41  1   8.666360 3.983400 12.646300
  42  1   1.238310 8.546050 4.639990
  43  1   10.831900 11.769200 -0.285707
  44  1   2.501950 10.162500 0.365001
  45  1   2.784520 2.451540 12.087300
  46  1   6.550980 12.155200 4.673680
  47  1   7.541030 8.514180 2.147980
  48  1   11.856400 12.578700 2.354470
  49  1   10.258300 5.620430 3.635400
  50  1   4.597230 12.086700 0.338299
  51  1   0.992456 0.444198 12.064700
  52  1   5.149880 5.220280 10.395600
  53  1   6.541490 11.328800 1.865140
  54  1   0.496013 10.032100 2.524210
  55  1   8.311790 4.637590 7.197360
  56  1   4.391440 8.969360 7.704920
  57  1   12.539200 8.321660 6.975880
  58  1   0.661073 10.387100 11.115100
  59  1   2.975030 6.397010 7.316030
  60  1   3.892530 9.393180 4.669940
  61  1   6.734770 0.827623 10.189000
  62  1   3.496940 2.889690 9.087440
  63  1   2.791040 5.456920 2.587380
  64  1   8.106890 10.112700 5.966970
  65  2   2.776340 1.795530 1.919520
  66  2   1.883170 1.078960 0.861584
  67  2   2.220980 11.918600 7.977180
  68  2   2.652260 10.365800 8.082680
  69  2   8.629660 1.233130 1.924240
  70  2   9.190280 1.096120 3.350820
  71  2   8.742870 0.178656 10.545300
  72  2   10.133000 0.575973 10.280400
  73  2   8.604140 12.619200 5.211450
  74  2   9.811460 12.293600 4.417440
  75  2   7.035330 2.753320 -0.068234
  76  2   6.836820 1.195810 0.224645
  77  2   6.575510 2.278790 7.532530
  78  2   6.754900 2.051580 9.079660
  79  2   11.300600 8.031520 12.381300
  80  2   9.712700 8.385450 12.375300
  81  2   7.147690 9.538190 9.274360
  82  2   6.737400 8.993130 10.662500
  83  2   9.210440 11.042300 8.833160
  84  2   9.802640 9.715810 8.721210
  85  2   9.773280 3.031840 10.422600
